#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 19:49:13       0    506     63      -     91     79      0      0      0      0  13801   2872 
 19:49:14       0    503     63      -     92     80      0      0      0      0  13801   2872 
 19:49:15       0    504     63      -     92     80      0      0      0      0  13801   2872 
 19:49:16       0    500     63      -     91     79      0      0      0      0  13801   2872 
 19:49:17       0    501     63      -     92     81      0      0      0      0  13801   2872 
 19:49:18       0    505     64      -     93     82      0      0      0      0  13801   2872 
 19:49:19       0    503     64      -     89     77      0      0      0      0  13801   2872 
 19:49:20       0    501     64      -     93     81      0      0      0      0  13801   2872 
 19:49:21       0    505     64      -     91     81      0      0      0      0  13801   2872 
 19:49:22       0    508     65      -     91     80      0      0      0      0  13801   2872 
 19:49:23       0    503     64      -     92     79      0      0      0      0  13801   2872 
 19:49:24       0    499     65      -     92     81      0      0      0      0  13801   2872 
 19:49:26       0    502     65      -     91     80      0      0      0      0  13801   2872 
 19:49:27       0    502     65      -     91     79      0      0      0      0  13801   2872 
 19:49:28       0    504     65      -     92     80      0      0      0      0  13801   2872 
 19:49:29       0    505     66      -     91     80      0      0      0      0  13801   2872 
 19:49:30       0    505     66      -     92     81      0      0      0      0  13801   2872 
 19:49:31       0    505     66      -     90     79      0      0      0      0  13801   2872 
 19:49:32       0    501     66      -     91     80      0      0      0      0  13801   2872 
 19:49:33       0    506     66      -     91     80      0      0      0      0  13801   2872 
 19:49:34       0    502     66      -     91     79      0      0      0      0  13801   2872 
 19:49:35       0    241     59      -      0      0      0      0      0      0  13801   2925 
 19:49:36       0    100     58      -      1      0      0      0      0      0  13801   2925 
 19:49:37       0    217     64      -     91     78      0      0      0      0  13801   2880 
 19:49:38       0    508     65      -     91     79      0      0      0      0  13801   2872 
 19:49:39       0    506     66      -     87     75      0      0      0      0  13801   2872 
 19:49:40       0    507     66      -     92     81      0      0      0      0  13801   2872 
 19:49:41       0    508     66      -     92     80      0      0      0      0  13801   2872 
 19:49:42       0    510     67      -     91     81      0      0      0      0  13801   2872 
 19:49:43       0    512     67      -     91     79      0      0      0      0  13801   2872 
 19:49:44       0    510     67      -     91     79      0      0      0      0  13801   2872 
 19:49:45       0    511     67      -     91     79      0      0      0      0  13801   2872 
 19:49:46       0    510     67      -     91     80      0      0      0      0  13801   2872 
 19:49:47       0    510     67      -     91     80      0      0      0      0  13801   2872 
 19:49:48       0    508     67      -     91     79      0      0      0      0  13801   2872 
 19:49:49       0    513     68      -     91     80      0      0      0      0  13801   2872 
 19:49:50       0    514     68      -     91     80      0      0      0      0  13801   2872 
 19:49:51       0    517     68      -     91     80      0      0      0      0  13801   2872 
 19:49:52       0    515     68      -     90     80      0      0      0      0  13801   2872 
 19:49:53       0    516     68      -     92     81      0      0      0      0  13801   2872 
 19:49:54       0    517     68      -     92     81      0      0      0      0  13801   2872 
 19:49:55       0    514     68      -     91     79      0      0      0      0  13801   2872 
 19:49:56       0    521     69      -     92     81      0      0      0      0  13801   2872 
 19:49:57       0    522     69      -     92     81      0      0      0      0  13801   2872 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 19:49:58       0    521     68      -     91     80      0      0      0      0  13801   2872 
 19:49:59       0    515     68      -     90     78      0      0      0      0  13801   2872 
 19:50:00       0    516     69      -     91     79      0      0      0      0  13801   2872 
 19:50:01       0    515     68      -     90     78      0      0      0      0  13801   2872 
 19:50:02       0    513     69      -     92     80      0      0      0      0  13801   2872 
 19:50:03       0    518     69      -     91     80      0      0      0      0  13801   2872 
 19:50:04       0    514     69      -     92     80      0      0      0      0  13801   2872 
 19:50:05       0    516     69      -     92     80      0      0      0      0  13801   2872 
 19:50:06       0    519     70      -     90     79      0      0      0      0  13801   2872 
 19:50:07       0    516     70      -     90     79      0      0      0      0  13801   2872 
 19:50:08       0    517     70      -     90     79      0      0      0      0  13801   2872 
 19:50:09       0    516     70      -     91     79      0      0      0      0  13801   2872 
 19:50:10       0    397     63      -      0      0      0      0      0      0  13801   2910 
 19:50:11       0    104     61      -      0      0      0      0      0      0  13801   2925 
 19:50:12       0     90     62      -     31     26      0      0      0      0  13801    705 
 19:50:13       0    486     68      -     91     80      0      0      0      0  13801   2872 
 19:50:14       0    520     68      -     91     79      0      0      0      0  13801   2872 
 19:50:15       0    518     69      -     90     79      0      0      0      0  13801   2872 
 19:50:16       0    521     69      -     91     80      0      0      0      0  13801   2872 
 19:50:17       0    518     69      -     91     79      0      0      0      0  13801   2872 
 19:50:18       0    516     69      -     91     79      0      0      0      0  13801   2872 
 19:50:19       0    517     70      -     92     81      0      0      0      0  13801   2872 
 19:50:20       0    519     69      -     92     81      0      0      0      0  13801   2872 
 19:50:21       0    518     70      -     90     79      0      0      0      0  13801   2872 
 19:50:22       0    516     70      -     92     81      0      0      0      0  13801   2872 
 19:50:23       0    517     70      -     91     80      0      0      0      0  13801   2872 
 19:50:24       0    519     70      -     91     81      0      0      0      0  13801   2872 
 19:50:25       0    520     70      -     91     80      0      0      0      0  13801   2872 
 19:50:26       0    518     70      -     91     79      0      0      0      0  13801   2872 
 19:50:27       0    518     70      -     90     79      0      0      0      0  13801   2872 
 19:50:28       0    517     70      -     91     80      0      0      0      0  13801   2872 
 19:50:29       0    517     70      -     92     80      0      0      0      0  13801   2872 
 19:50:30       0    523     70      -     91     80      0      0      0      0  13801   2872 
 19:50:31       0    519     70      -     92     80      0      0      0      0  13801   2872 
 19:50:32       0    518     70      -     93     81      0      0      0      0  13801   2872 
 19:50:34       0    518     70      -     92     80      0      0      0      0  13801   2872 
 19:50:35       0    518     70      -     89     78      0      0      0      0  13801   2872 
 19:50:36       0    518     70      -     92     81      0      0      0      0  13801   2872 
 19:50:37       0    518     70      -     91     80      0      0      0      0  13801   2872 
 19:50:38       0    517     70      -     93     81      0      0      0      0  13801   2872 
 19:50:39       0    515     71      -     91     79      0      0      0      0  13801   2872 
 19:50:40       0    515     70      -     89     78      0      0      0      0  13801   2872 
 19:50:41       0    514     71      -     91     79      0      0      0      0  13801   2872 
 19:50:42       0    513     71      -     92     80      0      0      0      0  13801   2872 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
 19:50:43       0    517     71      -     92     79      0      0      0      0  13801   2872 
 19:50:44       0    517     71      -     91     79      0      0      0      0  13801   2872 
 19:50:45       0    516     71      -     92     80      0      0      0      0  13801   2872 
 19:50:46       0    516     70      -     92     79      0      0      0      0  13801   2872 
 19:50:47       0    338     64      -      0      0      0      0      0      0  13801   2910 
 19:50:48       0    105     62      -      0      0      0      0      0      0  13801   2910 
 19:50:49       0    131     68      -     91     78      0      0      0      0  13801   1740 
 19:50:50       0    512     70      -     92     79      0      0      0      0  13801   2872 
 19:50:51       0    515     70      -     90     78      0      0      0      0  13801   2872 
 19:50:52       0    515     70      -     92     80      0      0      0      0  13801   2872 
 19:50:53       0    517     70      -     92     80      0      0      0      0  13801   2872 
 19:50:54       0    517     70      -     91     79      0      0      0      0  13801   2872 
 19:50:55       0    517     70      -     92     80      0      0      0      0  13801   2872 
 19:50:56       0    518     70      -     92     80      0      0      0      0  13801   2872 
 19:50:57       0    518     71      -     91     80      0      0      0      0  13801   2872 
 19:50:58       0    518     71      -     91     80      0      0      0      0  13801   2872 
 19:50:59       0    519     70      -     91     79      0      0      0      0  13801   2872 
 19:51:00       0    519     71      -     93     81      0      0      0      0  13801   2872 
 19:51:01       0    517     71      -     92     80      0      0      0      0  13801   2872 
 19:51:02       0    521     71      -     93     81      0      0      0      0  13801   2872 
 19:51:03       0    521     71      -     92     81      0      0      0      0  13801   2872 
 19:51:04       0    522     71      -     92     81      0      0      0      0  13801   2872 
 19:51:05       0    516     71      -     92     80      0      0      0      0  13801   2872 
 19:51:06       0    517     71      -     92     80      0      0      0      0  13801   2872 
 19:51:07       0    519     71      -     92     80      0      0      0      0  13801   2872 
 19:51:08       0    519     71      -     91     80      0      0      0      0  13801   2872 
 19:51:09       0    516     71      -     91     79      0      0      0      0  13801   2872 
 19:51:10       0    515     71      -     92     80      0      0      0      0  13801   2872 
 19:51:11       0    517     71      -     91     79      0      0      0      0  13801   2872 
 19:51:12       0    518     71      -     92     80      0      0      0      0  13801   2872 
 19:51:13       0    515     70      -     92     80      0      0      0      0  13801   2872 
 19:51:14       0    518     71      -     92     80      0      0      0      0  13801   2872 
 19:51:15       0    525     71      -     92     80      0      0      0      0  13801   2872 
 19:51:16       0    523     71      -     91     80      0      0      0      0  13801   2872 
 19:51:17       0    522     71      -     91     80      0      0      0      0  13801   2872 
 19:51:18       0    520     71      -     91     80      0      0      0      0  13801   2872 
 19:51:19       0    519     71      -     90     78      0      0      0      0  13801   2872 
 19:51:20       0    513     71      -     92     80      0      0      0      0  13801   2872 
