#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260602    23:17:18       0    100     37      -     76     73      0      0      0      0  13801   2925  21956  32739      - 
 20260602    23:17:19       0    416     48      -     91     40      0      0      0      0  13801   2850  21956  32739      - 
 20260602    23:17:20       0    575     53      -    100     17      0      0      0      0  13801   2782  21956  32739      - 
 20260602    23:17:21       0    548     49      -    100     35      0      0      0      0  13801   2782  21476  32739      - 
 20260602    23:17:22       0    261     53      -     93     16      0      0      0      0  13801   2887  21892  32739      - 
 20260602    23:17:23       0    576     55      -    100     17      0      0      0      0  13801   2775  21892  32739      - 
 20260602    23:17:24       0    549     51      -    100     36      0      0      0      0  13801   2775  21956  32739      - 
 20260602    23:17:25       0    498     56      -     94     16      0      0      0      0  13801   2775  21956  32739      - 
 20260602    23:17:26       0    575     57      -    100     16      0      0      0      0  13801   2767  21476  32739      - 
 20260602    23:17:27       0    455     56      -     93     16      0      0      0      0  13801   2902  21892  32739      - 
