# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
    0    102     44      -     67     57      0      0      0      0  13801   2790 
    0    116     40      -      1      0      0      0      0      0  13801   2932 
    0     78     39      -      1      0      0      0      0      0   7001   2430 
    0    226     47      -     91     78      0      0      0      0  13801   2872 
    0    482     48      -     91     79      0      0      0      0  13801   2895 
    0    484     49      -     91     79      0      0      0      0  13801   2895 
    0    485     50      -     92     80      0      0      0      0  13801   2895 
    0    485     50      -     92     80      0      0      0      0  13801   2895 
    0    485     51      -     91     79      0      0      0      0  13801   2902 
    0    482     51      -     88     76      0      0      0      0  13801   2902 
    0    483     52      -     91     79      0      0      0      0  13801   2902 
    0    483     51      -     90     79      0      0      0      0  13801   2902 
    0    488     52      -     92     80      0      0      0      0  13801   2902 
    0    488     53      -     91     79      0      0      0      0  13801   2902 
    0    487     53      -     91     79      0      0      0      0  13801   2902 
    0    486     53      -     91     79      0      0      0      0  13801   2895 
    0    490     54      -     91     80      0      0      0      0  13801   2887 
    0    492     54      -     91     80      0      0      0      0  13801   2887 
    0    483     54      -     90     79      0      0      0      0  13801   2887 
    0    488     54      -     92     80      0      0      0      0  13801   2887 
    0    488     55      -     92     80      0      0      0      0  13801   2887 
    0    487     55      -     92     80      0      0      0      0  13801   2887 
    0    488     55      -     90     78      0      0      0      0  13801   2887 
    0    485     56      -     91     79      0      0      0      0  13801   2887 
    0    486     56      -     91     80      0      0      0      0  13801   2887 
    0    493     56      -     92     81      0      0      0      0  13801   2887 
    0    494     57      -     93     81      0      0      0      0  13801   2887 
    0    493     56      -     91     79      0      0      0      0  13801   2887 
    0    491     57      -     91     80      0      0      0      0  13801   2887 
    0    495     57      -     91     79      0      0      0      0  13801   2887 
    0    488     57      -     90     78      0      0      0      0  13801   2887 
    0    489     58      -     91     79      0      0      0      0  13801   2887 
    0    488     58      -     91     80      0      0      0      0  13801   2887 
    0    489     58      -     90     79      0      0      0      0  13801   2887 
    0    495     59      -     93     81      0      0      0      0  13801   2887 
    0    496     59      -     93     82      0      0      0      0  13801   2887 
    0    495     59      -     92     80      0      0      0      0  13801   2887 
    0    297     52      -      1      0      0      0      0      0  13801   2925 
    0     92     51      -      1      0      0      0      0      0  13801   2925 
    0    303     58      -     92     79      0      0      0      0  13801   2887 
    0    494     58      -     91     79      0      0      0      0  13801   2887 
    0    497     59      -     90     78      0      0      0      0  13801   2887 
    0    494     59      -     91     80      0      0      0      0  13801   2887 
    0    495     60      -     91     80      0      0      0      0  13801   2887 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz 
    0    497     60      -     91     79      0      0      0      0  13801   2887 
    0    494     60      -     91     80      0      0      0      0  13801   2887 
    0    498     60      -     91     79      0      0      0      0  13801   2887 
    0    495     60      -     91     79      0      0      0      0  13801   2887 
    0    499     60      -     91     80      0      0      0      0  13801   2887 
    0    498     61      -     90     79      0      0      0      0  13801   2887 
    0    494     61      -     90     79      0      0      0      0  13801   2887 
    0    494     61      -     87     76      0      0      0      0  13801   2887 
    0    487     61      -     87     76      0      0      0      0  13801   2887 
    0    499     62      -     90     79      0      0      0      0  13801   2887 
    0    499     62      -     89     78      0      0      0      0  13801   2880 
    0    501     62      -     91     79      0      0      0      0  13801   2872 
    0    501     63      -     91     79      0      0      0      0  13801   2872 
    0    499     63      -     92     80      0      0      0      0  13801   2872 
    0    502     62      -     90     78      0      0      0      0  13801   2872 
    0    502     63      -     91     80      0      0      0      0  13801   2872 
    0    503     64      -     91     79      0      0      0      0  13801   2872 
    0    502     63      -     91     79      0      0      0      0  13801   2872 
    0    499     63      -     90     78      0      0      0      0  13801   2872 
    0    497     64      -     90     78      0      0      0      0  13801   2872 
    0    497     64      -     92     80      0      0      0      0  13801   2872 
    0    498     64      -     90     78      0      0      0      0  13801   2872 
    0    497     64      -     90     79      0      0      0      0  13801   2872 
    0    490     65      -     89     77      0      0      0      0  13801   2872 
    0    490     65      -     91     79      0      0      0      0  13801   2872 
    0    493     65      -     89     77      0      0      0      0  13801   2872 
    0    498     65      -     92     80      0      0      0      0  13801   2872 
    0    500     65      -     91     79      0      0      0      0  13801   2872 
    0    502     66      -     93     81      0      0      0      0  13801   2872 
